Duration (in seconds),Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_text,Q3.1,Q3.1 text,Q3.2,Q3.2 text,Q3.3,Q3.3 text,Q3.4,Q3.4 text,Q3.5,Q3.5 text,Q3.6,Q3.6 text,Q3.7,Q3.7 text,Q3.8,Q3.8 text,Q3.9,Q3.9 text,Q3.10,Q3.10 text,Q3.text,Q4,Q5,Q5_text,Q6,Q6_9_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8a_1,Q8a_2,Q8a_3,Q8a_4,Q8a_5,Q8a_6,Q8a_7,Q8a_8,Q8a_9,Q8a_10,Q8a_11,Q8b_1,Q8b_2,Q8b_3,Q8b_4,Q8b_5,Q8b_6,Q8b_7,Q8b_8,Q8b_9,Q8b_10,Q8b_11,Q9a_1,Q9a_2,Q9a_3,Q9a_4,Q9a_5,Q9a_6,Q9a_7,Q9a_8,Q9a_9,Q9a_10,Q9b_1,Q9b_2,Q9b_3,Q9b_4,Q9b_5,Q9b_6,Q9b_7,Q9b_8,Q9b_9,Q9b_10,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q16,Q17,Q17_3_TEXT,Q18,Q19,Q20,Q20_9_TEXT,Q22
1308,2,1,5,1,5,,50,,3,,3,,2,,3,,2,,5,,5,,5,,5,,,2,4,"If this action reduces the levels of oxygen dioxide from the atmosphere, then it is worthy of consideration and I approve this action.
",2,,2,2,2,6,3,1,3,3,4,3,1,4,4,3,1,3,3,3,3,3,4,1,4,3,4,5,4,5,4,4,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,,3,4,4,4,5,5,5,5,5,5,5,4,3,3,3,3,1,5,3,1,5,2,5,5,5,1,1,5,5,5,5,5,1,5,5,,1,,39,2,7,,Good luck!
994,2,4,6,6,6,,49,,2,,1,,1,,1,,1,,4,depends on the restoration techniques,5,,3,,5,,,1,3,logistically the placement of these platforms would be quite negative,6,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"I don't know enough about this subject, even with the short explanation",3,6,3,4,3,4,4,4,4,3,3,4,2,6,4,4,4,4,4,6,4,2,,4,4,4,1,4,4,5,5,5,1,3,4,,2,,54,2,7,,
6717,2,4,3,2,5,,49,,5,This CO2- removing technology has been considered as the one of the classic approaches in the last two decades to be pursued both in the ocean and land as a climate change solution to remove and reduce COs emissions from the atmosphere. It should be implemented as part of a national policy climate change solution and mitigation strategy at the provincial and government levels.,4,"Similar to capturing C02 from the air and injecting it into a porous rock under the seabed or ocean bottom, this approach should be pursued as a climate change solution to remove and reduce COs emissions from the atmosphere and readily implemented as part of a national policy climate change solution and mitigation strategy at the provincial and government levels",3,"Similar to adding iron and nitrogen into the ocean where cascade effects can take place in the biogeochemical processes of the marine environment, moderate and high impacts (positve and/or negatives) in the chemistry of the oceans and ecophysiology of invertebrates may well be expected..",2,,2,This CO2 removing technology can cause cascade impacts and trigger bottom up control process in marine ecosystems due to the human-influenced addition of iron and nitrogen in the oceans.,5,Restoration and enhancement of blue carbon marine-coastal and aquatic ecosystems is probably one of the most feasible and proactive CO2-removing approaches to reduce VO 2 emissions from the atmosphere.,4,This approach as an ecological restoration and rehabilitation mechanism will help as part of the solutions and support other primary CO2 removing technologies.,2,,3,,"The pursuit of just-transition technologies and industrial innovations fostering and incentivising consumption and production behavioral changes at the individual, societal, institutional, and industrial levels are of paramount importance to support hand by hand most of the climate change solution technologies aimed to storage and removing CO2 emissions.",5,5,"Given the accelerated rate of CO 2 emission and negatives impacts by global warming and regional climate changes outweighing and overwhelming our slow rate of response and efforts to mitigate and adapt to climate change and reach ""zero or neutral emission"", the Solid Carbon project offers a unique important to combat climate change in a reasonable time. Tradeoffs and BACI (before-after control impact) analysis should be considered against the alternative of doing nothing or zero alternative (e.g., temporal versus permanent negative impacts of wind farms structural disturbance and physical noise in marine biodiversity and associated behaviors and habitats, including charismatic top predators species such as marine mammal and seabirds, as well as other species such as sea turtles and large pelagic fish species; potential unseen or unknown impacts in the ocean earth crust due to the drilling of the ocean bottom).",1,,1,2,3,3,1,1,3,4,4,4,3,3,4,3,2,3,1,2,2,2,3,2,3,2,1,1,1,1,4,5,3,5,4,5,5,3,3,3,4,4,3,5,4,5,4,3,3,3,4,"Supporting the construction of a Solid Carbon project off North America’s west coast to help meet climate targets needs the ancestral and traditional knowledge inputs and perceptions from coastal Native American (USA) First Nations (Canada) communities and ocean users (e.g., fishers, tourism industry) as part of a bottom-up policy taking into considerations the comments/suggestions and recommendations of all parties involved.",3,4,4,3,4,3,5,5,4,4,5,3,3,1,3,5,4,5,4,1,2,3,5,2,2,3,1,5,4,4,1,4,2,4,4,,1,,31,6,7,,
5461,2,6,6,6,6,"probably the questions are not subject of expert opinion, just modelling has to be, the questionary is may be relevant for calculation as the data, but not as the calculation result",49,"the technology of producing synthetic fuel from atmospheric carbon dioxide and from water may deserve attention, so as not to use fossil fuels, and after burning the fuel, produce it again, thereby not increasing the amount of carbon dioxide in the atmosphere",1,"offshore platforms represent additional technological costs, during which there will be a large emission of carbon dioxide, which can be utilized on land, and the content of carbon dioxide in the atmosphere will redistribute itself, but the question of utilization in rocks remains, which will become saturated and become unsuitable for utilization in the future, unlike the forests, whose ability to utilize carbon dioxide does not decrease over time, and unlike cyclical schemes for converting carbon dioxide to synthetic fuel, repeating this process after fuel combustion, that is, stopping the use of fossil fuels",4,,2,"methods based on the absorption of carbon dioxide by non-renewable substances and objects, i.e. not by plants, but by rocks or reservoirs, apparently in the future have a contradiction, because after saturation, further absorption of carbon dioxide will stop, and it will accumulate again in the atmosphere, only there will be no more rocks or reservoirs suitable for its absorption",3,,2,,3,,4,"very worthy, but not so much relevant in Canada, may be, and dry land wetting in the other territories instead of planting",3,"what is bad when trees naturally absorb carbon dioxide and convert it into a component of wood, cellulose, glucose",4,,"I think that the strategy should be to reduce or stop further increasing the carbon content in the atmosphere in the form of methane or carbon dioxide, that is, to reduce or eliminate the use of fossil fuels, and the return of carbon dioxide to other substances can be done by trees under the influence of solar energy or through the production of synthetic fuels. from atmospheric carbon dioxide from nuclear, solar, wind, tidal or other types of energy. In addition, the use of reservoirs or rocks for absorption of carbon dioxide in a strategic perspective has a contradiction, since these bodies of water and rocks are limited and not renewable, i.e. after their saturation, the accumulation of carbon dioxide in the atmosphere will continue. Another problem can be unreasonable structural complexity, such as the creation of shelf platforms in the sea, although it is possible to absorb carbon dioxide, which is freely redistributed in the atmosphere, on the shore, and when building a shelf platform, a lot of energy is needed, and this will also lead to the emission of carbon dioxide into the atmosphere. ... The same problem of inappropriate large investments can arise if the further utilization of carbon dioxide is not resolved, for example, if it is planned to use water bodies or rocks limited on the ground to absorb carbon dioxide. And what will happen then when these reservoirs or rocks are saturated with carbon dioxide? Then the construction costs will be in vain. And I want to emphasize that changing the landscapes of the coast or the chemical composition of the water in the ocean is an unnecessarily dangerous proposal.",6,2,"the costs of the Solid Carbon platform will not bring results, since this is not enough to absorb carbon dioxide from the atmosphere of the globe and the construction of this platform on the west coast will not lead to a change in the carbon dioxide content in the atmosphere",9,"some aspects of the project should be implemented, such as the use of trees to absorb carbon dioxide, which may be associated with the replacement of fossil fuels with synthetic fuels produced using atmospheric natural gas, which do not require excessive capital investment, so as not to increase the amount of carbon dioxide in the atmosphere, and it is necessary to find a way to use carbon dioxide in a beneficial way, for example, to synthesize fuel using carbon dioxide absorbed from the atmosphere, and not to pump carbon dioxide with water into the rock, which is economically useless and limited by the maximum volume of carbon dioxide absorption by water bodies or rocks",3,4,4,4,4,4,2,2,2,4,3,4,4,4,3,4,2,2,2,2,4,3,4,4,4,3,4,2,3,3,2,2,2,2,2,3,3,4,3,3,2,2,2,2,2,3,3,4,3,,4,4,4,4,4,4,2,4,4,3,4,4,2,2,4,4,4,2,4,2,4,4,3,4,3,3,2,4,4,3,4,4,3,3,3,,1,,41,2,7,,"Excess carbon dioxide in the atmosphere occurs when fossil fuels are burned. Therefore, it is necessary to reduce the use of fossil fuels so that the carbon dioxide content in the atmosphere does not increase. Reducing the amount of carbon dioxide in the atmosphere is the next step. Reducing the amount of carbon dioxide in the atmosphere or stopping its accumulation cannot be done in Canada and requires international participation. Companies that are producing oil in Alberta (and elsewhere on Earth) will suffer damage and need to resolve economic issues with them. Probably it is impossible to reduce the content of carbon dioxide in the atmosphere without reducing the volume of fossil fuel production"
885,2,3,3,3,3,,48,,3,,3,,1,you would unbalans the ecosystem with a catrastrophic los of plants and life in the  ocean,2,,1,you could damage the ecosystems,5,,4,,5,,4,,,1,3,i dont knpow enough,2,,6,6,6,6,6,6,3,3,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6,6,2,6,3,3,3,3,6,,2,3,1,3,2,3,4,5,4,1,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,1,2,5,5,3,5,5,5,2,5,,2,,33,6,7,,
958,2,2,6,2,4,,48,,4,,4,,6,,6,,1,,4,,3,,6,,4,,,2,4,NA,6,,6,2,2,2,1,1,6,6,6,2,2,2,2,2,3,6,2,6,6,6,1,1,1,1,1,1,6,1,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,4,Na,2,6,4,6,6,6,3,5,4,4,6,6,6,6,6,6,1,4,3,1,2,1,5,1,4,2,1,5,3,4,5,4,1,4,4,,2,,28,1,7,,
2630,2,4,4,4,5,,49,,4,,3,,1,,3,,3,,5,,5,,3,,5,,,5,4,potential to remove large amounts of carbon quickly,1,,2,2,2,2,3,3,3,3,3,4,2,3,3,4,3,4,3,2,2,3,3,2,3,3,1,1,2,2,3,4,3,4,4,3,3,4,5,5,2,2,2,3,3,2,3,3,4,4,4,needs to tested and monitored  ,3,5,4,4,4,3,3,5,5,3,3,4,2,2,4,4,1,4,2,2,5,3,5,5,5,1,1,5,5,5,4,5,1,5,4,,2,,48,3,5,,need more solutions
1506,2,2,5,2,5,,50,,4,,4,,4,,3,,4,,4,,5,,3,,4,,,5,5,I support every project that will allow efficient and rational reduction of CO2 emissions,1,,2,1,1,4,2,1,3,4,2,4,4,2,4,1,5,5,3,4,4,3,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,,4,4,5,4,3,3,4,5,3,4,5,3,2,2,3,4,5,3,5,1,5,3,5,2,5,1,1,4,5,4,4,5,2,4,5,,2,,27,2,9,dr hab.,
1606,2,1,1,1,1,Current level of CO2 and of CO2 emissions made the 1.5°C by 2050 objective already unrealistic and actual warming will be of 2°C or more,46,"I feel all carbon storage solutions are technological fools as they let people believe they can continue as usual, and as there will still be a solution that can save the world, which is largely unrealistic. Do you consider the energetic cost of storing CO2, in a global context of energy demand will be increasing, while energy production will decline, whether we should use less fossil fuels, or as society are reluctant to see wind mills or nuclear plants installed in their backyard",1,How much energy does this kind of technology needs? ,1,"Once for all, I think that human based storage solutions are worthless, cost of lot of energy and the amount of CO2 captured is 2 or 3 orders of magnitude lower than what is emitted annually. It took Nature millions of years to develop efficient storage mechanism named photosynthesis, and we humans still believe we can do better in some years. INot even reluctant ",1,,1,,1,,5,,5,"Yes, along with well-managing the currently existing forest, and selecting trees species able to resist future climate and/or related diseases",2,,5,,,1,1,"Same argument as before :
- let people think technology can act as a magic wand to restore what they do/did wrong, without changing the actual behavior of society
- I'm afraid one wind mill do not produce enough energy to perform the process needed to capture CO2. What will happen when the wind does not blow?
- We need energy to do other stuff, as we should stop using fossil-fuel derived energy so should rationalize the way we use energy
- Most studies demonstrate that construction of wind mills is one of the renewable energy productions that demands the largest amount of rare and pollutants elements, like cobalt, rare earths etc.
- the implantation of such a project will generate conflicts for space and resources, with other uses that should be developed, in a will to move forward a low- or zero-carbon world (eg small scale artisanal fisheries, Marine Protected Areas etc) ",9,and for all the reasons I already mentioned,5,5,5,5,5,5,6,6,6,4,6,6,5,5,5,5,5,6,6,6,6,6,6,3,5,5,5,5,1,1,1,4,1,1,1,1,3,2,1,1,1,3,1,1,1,1,1,1,1,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,5,5,1,1,1,5,1,5,2,1,3,3,4,4,5,1,1,3,,1,,18,6,7,,
437084,2,2,4,2,5,,48,,3,,3,,2,,2,,2,,5,,3,,3,,5,,"I would just like reinforce my position that the the most efforts should be focused on natural processes, such as restoration of degraded areas, reforestation, reduced deforestation and new consunption and production policies that causes less impact on climate change.",2,2,"Because, I think this solution is not enough to solve the problem of climate change. Just removing the CO2 is not enough to solve this problem. Other issues, such as desertification, changes in precipitation, is connected to other issues that it is not just a question of how much carbon or other greenhouse gases we are emitting and taking out of the atmosphere.",5,,2,2,4,4,4,5,6,6,3,4,4,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,3,4,2,2,3,4,4,3,2,2,3,3,4,4,4,4,4,4,3,3,3,,2,4,5,3,3,3,4,4,3,3,3,2,4,2,2,4,1,5,5,1,5,1,5,2,5,2,1,5,4,5,4,4,1,4,1,,1,,21,3,7,,
632,2,4,6,6,6,,49,,4,,6,,2,,5,,4,,5,,4,,3,,5,,,1,3,I'm not sufficiently familiar to have an informed opinion,2,,1,3,4,4,3,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,3,,2,6,2,3,3,3,3,4,4,5,3,6,6,6,6,6,1,5,4,3,5,2,5,5,5,2,1,4,5,3,5,5,3,5,5,,2,,33,2,7,,
403,2,3,3,3,3,,47,,3,,2,,3,,3,,1,,2,,2,,2,,3,,,2,3,neither support nor oppose,2,,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,1,,21,3,7,,
677,2,2,4,2,4,,50,,5,,5,,1,,2,,1,,5,,5,,3,,5,,,2,5,"I see no down side to this, or only very minimal risk compared to the very-real, very-dangerous risk of global climate change. ",1,,1,1,1,1,1,1,2,2,2,2,1,3,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,3,4,5,5,5,4,5,5,4,5,2,2,6,2,2,1,4,1,1,3,2,5,5,4,1,1,5,5,5,5,5,1,1,6,,1,,24,2,7,,
2406,2,6,4,6,4,,50,,4,,4,,3,,1,,4,,5,,5,,1,,2,,"Possible solutions and strategies offered in this survey to tackle climate change problems are interesting. However, further research must be conducted regarding the suitability of strategy options in a different groups of countries. For instance, a good strategy can be performed in a very good way in some well-developed countries, yet may not be suitable in developing countries.
I really appreciate the research effort of this research group and I am open to collaborating especially in the field of carbon capture using microorganisms.

All the best,

Fiddy",5,4,I think this approach is worth to try,2,,1,3,3,5,4,3,4,5,3,5,4,4,5,5,5,4,5,2,3,4,4,4,4,5,4,3,3,3,6,6,4,4,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,"I think further studies and assessment regarding the solid carbon project should be conducted, especially on the possible impact on the marine environment and how to tackle the possible problems, as well as the public perception regarding this project since other options/strategies are still available to reduce CO2 emission. ",3,4,4,4,4,4,5,5,4,4,5,3,3,3,4,4,1,5,6,6,6,3,5,5,5,1,1,5,5,4,5,5,1,5,5,,1,,19,6,7,,
2756,2,2,5,2,5,"NETs will not be enough. Its uses will be slow, compared with increases in CO2 emission",47,Maybe if industries can use that CO2 in manufacturing,1,Too dangerous,1,Too dangerous. Stockage of gas with the same technology generate micro-earthquakes,1,"I don't know about this uses, but it looks as a unpredictable and dangerous shortcut ",3,"I did't know that exist, but could work somehow without risks",1,,5,Key factor,5,A step in the good direction,6,"I don't know about this, but it looks suspicious",4,,Habitat conservancy and reduce fossil fuels ,2,1,"The complete process, including construction, transporting, etc, it seems not very convincing. And storing CO2 can increases pressure in the crust",5,,1,1,2,4,5,6,4,4,2,6,2,3,4,5,5,5,4,2,3,2,3,2,2,1,2,2,2,2,2,2,1,4,1,2,1,2,4,2,2,2,2,3,1,1,1,1,2,1,2,"Habitat conservancy (salt marshes, seagrass, mangroves, etc)",3,4,3,4,5,4,5,5,5,4,5,4,2,1,2,4,5,5,5,6,6,1,5,5,6,4,1,1,5,5,5,5,2,3,1,,3,Scientist (hopefully!),43,2,7,,Congratulations. Good inquiry.
1232,2,2,5,2,2,,50,,3,,5,,3,,3,,1,,3,,4,,4,,3,,,5,3,Not a citizen of Canada or the US,2,,1,1,1,3,3,3,2,2,1,2,1,2,2,5,4,5,5,1,1,6,1,1,1,1,3,4,4,4,1,2,3,3,3,2,2,2,3,3,2,6,6,3,4,6,6,2,4,3,3,,2,3,3,4,4,4,4,5,4,4,4,4,6,2,4,3,2,4,4,2,4,1,5,5,4,2,1,4,4,4,5,3,1,4,4,,1,,55,2,7,,
1412,2,5,5,4,4,,49,,2,,2,,1,,2,,3,,5,,5,,5,,4,,,2,3,I don’t support and I don’t oppose ,2,,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,3,,2,2,2,2,2,3,3,3,2,3,2,2,4,1,2,3,3,4,4,4,4,3,5,3,3,1,1,5,4,3,4,5,1,4,5,,2,,27,3,7,,
867,2,4,5,5,6,,49,,2,,2,,2,,3,,3,,5,,5,,3,,4,,,2,3,Not pplicable,2,,4,5,4,5,4,5,4,3,4,4,4,5,5,5,4,4,4,2,3,3,4,4,4,4,3,3,3,3,3,4,3,3,3,4,4,4,3,3,3,4,3,3,4,4,4,4,3,3,3,Not applicable,3,4,4,3,4,4,4,4,4,3,4,4,3,3,3,4,5,5,4,4,4,5,3,4,5,1,1,5,5,4,5,5,1,5,5,,2,,26,2,7,,No
994,2,4,4,2,4,,46,Can be a way to acxelerate extraction of fossil fuels but is not a solution and continues reliance on carbon dioxide ,4,,5,,3,,6,,3,,4,,4,,6,,4,,,2,3,I don't know enough about it.,9,I don't know enough about it.,1,1,1,5,1,6,6,6,6,6,6,6,6,4,3,6,3,6,6,6,3,6,4,6,4,4,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,I don't know enough about it.,4,3,2,5,4,5,4,4,5,3,5,4,6,6,4,4,5,5,1,1,1,2,5,2,3,2,1,4,3,5,5,5,1,3,5,,2,,22,2,7,,
1446,2,4,4,3,3,,49,,3,,3,,3,,3,,3,,4,,4,,3,,4,,,5,3,"More reasearch is needed
",2,,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,,3,3,4,4,3,4,4,4,4,3,3,4,2,6,3,4,6,6,6,6,4,6,5,3,5,2,2,3,4,3,4,4,2,2,4,,2,,45,2,7,,
1001,2,4,3,3,3,,48,,3,,2,,1,,1,,1,,4,,4,,3,,4,,,2,2,Ecosystem effects,2,,3,3,1,5,5,5,2,2,4,5,3,4,5,3,4,4,5,2,2,2,5,3,2,5,4,4,3,4,2,2,3,4,3,2,2,3,3,3,4,4,4,4,5,5,5,4,5,5,3,,1,3,3,1,2,2,3,4,4,3,4,1,4,1,2,1,1,5,2,4,3,2,4,4,2,1,1,5,4,5,5,5,1,4,4,,2,,21,2,7,,
3445,2,6,5,6,5,,50,,1,,1,,1,,6,,1,Massive (and toxic) blooms of phytoplankton!,5,,5,,6,,5,,,2,1,Threat to the marine environment ,5,,2,5,5,5,5,6,6,6,4,5,1,4,5,6,6,6,6,6,6,4,5,1,4,5,6,6,6,6,1,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,1,,1,1,2,1,2,1,4,5,2,2,2,6,6,6,6,6,4,4,4,4,4,4,4,4,4,1,1,5,5,5,5,1,1,5,5,,2,,19,3,7,,no
1084,2,4,4,4,4,,51,,6,,4,,5,,4,,5,,5,,5,,3,,4,,,1,4,It is a process than can be effective and it is safe,2,,4,4,4,4,4,4,2,3,4,4,2,4,3,4,4,4,4,2,3,2,4,2,4,2,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,,35,2,7,,
896,2,4,6,6,6,,49,,3,,3,,3,,4,,2,,5,,4,,1,,5,,,1,4,innivative and possible solution,2,,1,2,2,4,3,2,3,4,4,4,3,4,4,3,5,5,4,6,6,6,4,6,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,the adverse effects have not been presented adequately. ,4,2,3,1,1,1,3,4,3,2,3,3,3,1,3,3,1,4,2,2,4,1,4,3,4,1,1,5,5,4,4,5,1,3,4,,2,,28,1,7,,
1106,2,4,4,4,4,,49,,1,,2,,1,,1,,2,,5,,5,,1,,5,,Some strategies seem to be energy/material intensive.  Natural remedies are best.,1,3,"Worth a demonstration project, but seems to be material intensive.",2,,2,3,3,3,3,3,6,6,6,6,6,6,6,4,6,4,6,6,6,6,6,6,6,6,3,6,3,6,2,2,2,5,2,2,2,2,2,5,6,6,6,6,6,6,6,6,6,6,3,All technologies should be explored/evaluated,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,4,4,3,4,4,3,4,3,4,2,2,4,3,4,4,4,2,2,4,,4,,61,3,7,,
3820,2,3,5,4,4,,49,,6,,3,,1,,3,,3,looks interesting but perturbing the environment is not a solution,5,,5,,6,,5,,,2,6,I do not know really but to me only natural processes should used in order to not damage more the environment. The CO2 balance of Solid Carbon projects should be studied while including the different steps at the larger scale,5,,3,3,3,5,4,4,6,6,6,5,6,5,5,5,4,6,5,6,6,4,5,6,4,5,5,5,6,5,6,6,6,3,3,6,6,6,2,2,6,6,6,6,6,6,3,6,6,6,2,,1,3,1,2,3,2,4,5,2,2,3,2,6,2,2,2,5,4,4,2,4,2,5,3,4,3,1,4,5,5,5,4,1,4,1,,1,,38,4,7,,
1218,2,6,6,6,6,I am not an expert in the specifics.  I manage a team who know details more precisely.,49,,3,,3,repeat question,6,,6,,3,,4,,5,,6,,6,,,2,4,"I do not have enough information or knowledge to understand the negative implications.  On the surface, the system looks very effective.
",6,,2,2,2,3,2,3,2,3,2,3,2,4,3,3,4,6,2,3,3,6,4,1,2,2,2,4,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,,2,2,3,3,3,3,3,4,5,3,4,4,2,6,4,4,2,4,4,3,4,4,4,3,4,4,1,4,3,4,4,4,1,2,4,,1,,33,3,5,,
28628,2,4,3,3,3,,47,,1,,3,,2,,3,,1,,4,,3,,3,,3,,,1,2,"I am opposed to this project because, at first, I do not know about the project in full. Second, the storage of co2 in rocks at the bottom of the sea is already a concern for offshrore platforms, which it can leak and cause physicochemical changes, such as acidification.",5,,2,4,5,6,6,6,3,3,4,6,4,6,6,5,5,5,3,3,3,5,5,4,5,5,5,5,4,5,2,3,2,3,3,2,1,2,3,2,2,6,6,2,2,1,1,1,3,3,2,,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,4,4,3,4,6,1,3,4,,2,,18,6,7,,
1426,2,4,4,2,4,,49,,2,,2,,1,,2,,1,,4,,3,,3,,3,,,5,1,The scale and magnitude of potential Environmental damage is unknown,2,,1,3,2,3,4,3,4,4,2,5,4,4,5,5,5,5,5,2,3,2,5,3,3,4,5,5,4,5,2,4,3,4,2,4,5,2,2,4,6,6,6,6,6,6,6,6,6,6,1,,1,2,1,2,2,2,2,4,3,3,2,2,4,1,1,1,2,4,4,2,5,4,5,2,5,1,1,4,2,5,5,5,1,4,4,,2,,20,2,7,,"I found some of the questions hard to interpret, and had to answer I don't know. For example the soil carbon benefits to society. Since I don't think this technology is currently viable, I would have answered unlikely to most. But the wording of the question suggested that I should assume it is a viable option, so I would have answered a strong yes to most of the benefits."
1222,2,5,4,2,5,,49,,2,,2,,1,,1,,1,,5,,4,,1,,1,,Improve the marine water quality in addition to increase the phytoplankton biomass which will acts for major CO2 sinks than trees.,2,3,Still need a better understanding of the scope of the same ,2,,3,4,5,2,3,3,5,5,4,4,3,5,4,1,4,5,3,5,5,4,4,3,4,4,2,2,4,5,4,4,4,5,5,4,4,4,3,4,4,4,4,3,4,3,4,4,3,3,5,,5,3,5,5,4,5,4,5,5,4,4,4,3,4,5,4,5,5,3,4,5,4,4,5,5,1,1,5,1,5,5,4,1,3,5,,1,,24,4,7,,
2028,2,2,4,2,4,,47,,2,,3,,1,,2,,2,,5,,5,,2,,4,,,5,2,Need more information but question impact on sea floor life and stability of CO2 removed in this fashion.,2,,5,3,3,4,4,3,4,4,4,5,3,5,5,4,4,5,4,2,3,4,5,2,3,5,2,4,5,3,2,2,3,3,3,2,2,3,3,3,3,2,2,2,2,3,3,4,3,3,2,,2,2,2,4,4,4,4,5,4,4,3,2,3,2,4,3,2,4,2,2,4,2,3,2,2,4,1,4,4,2,4,4,2,4,3,,1,,56,2,7,,
2126,2,3,4,3,4,,48,,1,,3,,4,,4,,2,,5,,5,,3,,4,,,5,2,I am not convinced that the drilling and storage part of this approach is safe and sustainable and will last long enough,2,,1,1,1,5,5,5,4,4,4,5,3,5,5,5,3,5,5,2,2,4,5,3,3,5,4,4,4,4,2,3,2,4,2,3,1,3,4,4,4,4,2,3,4,4,3,2,3,3,2,,1,3,1,3,3,3,5,5,5,4,5,2,4,1,1,1,1,5,1,1,1,1,5,3,1,3,1,5,5,5,5,5,1,3,5,,2,,25,1,7,,
4869,2,4,4,5,3,"NETs can be developed in large scale by 2050, however, carbon requisition and stopping global warming can no be guaranteed by 2050.",49,"If the emission of CO2 level is high in the production process, it is not worthy. ",4,"However, if CO2 emission happen while establishing this process, it is not worthy. ",4,Emission of CO2 should be reduced in the process. ,2,Need to consider negative impacts of changing ocean pH balance. ,2,What about the impact of spreading rocks on soil..?,2,It may cause to eutrophication. ,5,This is a must to be concerned. ,5,Reforestation is a need to re-stabilize natural systems. ,3,CO2 may release while producing burning biomass..?,5,Grassland restoration is a must to be concerned.,"I suggest it should be a natural process like restoring natural habitats, which can only help with reducing global warming. ",2,3,Need to understand the impacts of mineralization of porous rock layer in the earth through this kind of project.  ,2,,4,3,4,1,1,4,4,4,4,4,4,3,4,5,3,3,3,2,2,2,3,2,3,4,2,5,2,2,4,4,3,4,3,3,3,3,3,3,2,3,3,2,2,3,2,2,2,2,3,"The impact of the project can no be guaranteed, hence there is a need to conduct more research.",3,3,3,3,3,3,4,4,3,3,4,3,3,2,4,3,3,4,4,2,4,3,4,4,4,2,1,5,5,5,5,5,1,4,5,,1,,20,3,7,,Thank you for conducting this kind of social survey before implementing a project and appreciated it. 
